TIME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,day_of_week,weeekday,date,month,TEMPRETURE,DEW,PRECIPITATION,RH,WIND SPD,WIND DIR
1,1,0,1,0,0,0,0,0,0,5,0,30,12,17,0,0,46,4.6,-1
1,0,0,0,0,0,0,0,0,0,5,0,30,12,17,0,0,46,4.6,-1
20,0,0,0,0,0,0,0,0,1,5,0,30,12,15,-6,0,38,12,7 300
20,0,0,0,0,0,0,0,0,0,5,0,30,12,15,-6,0,38,12,7 300
21,0,0,0,0,0,0,0,0,3,5,0,30,12,13,-6,0,42,9.2,310
21,0,0,0,0,0,0,0,0,1,5,0,30,12,13,-6,0,42,9.2,310
21,0,0,0,0,0,0,0,0,1,5,0,30,12,13,-6,0,42,9.2,310
21,0,0,0,0,0,0,0,0,1,5,0,30,12,13,-6,0,42,9.2,310
21,0,0,0,0,0,0,0,0,0,5,0,30,12,19.5,-1,.5 0.,0,39 1,5.0 320
22,0,0,0,0,0,0,0,0,0,5,0,30,12,19,-2,0,39,5.8,280
22,1,0,1,0,0,0,0,0,0,5,0,30,12,19,-2,0,39,5.8,280
22,2,0,0,0,0,0,2,0,1,5,0,30,12,19,-2,0,39,5.8,280
22,0,0,0,0,0,0,0,0,1,5,0,30,12,19,-2,0,39,5.8,280
22,0,0,0,0,0,0,0,0,1,5,0,30,12,19,-2,0,39,5.8,280
22,0,0,0,0,0,0,0,0,1,5,0,30,12,19,-2,0,39,5.8,280
23,0,0,0,0,0,0,0,0,2,5,0,30,12,18,-1,0,43,4.6,-1
23,0,0,0,0,0,0,0,0,0,5,0,30,12,18,-1,0,43,4.6,-1
23,0,0,0,0,0,0,0,0,1,5,0,30,12,18,-1,0,43,4.6,-1
23,0,0,0,0,0,0,0,0,0,5,0,30,12,18,-1,0,43,4.6,-1
3,0,0,0,0,0,0,0,0,3,5,0,30,12,21,4,0,47,4.6,310
3,1,0,0,0,0,0,1,0,1,5,0,30,12,21,4,0,47,4.6,310
4,2,0,0,0,0,0,2,0,1,5,0,30,12,21,3,0,45,4.6,310
4,0,0,0,0,0,0,0,0,1,5,0,30,12,21,3,0,45,4.6,310
4,1,0,0,0,0,0,1,0,2,5,0,30,12,21,3,0,45,4.6,310
5,1,0,0,0,0,0,1,0,2,5,0,30,12,20,2,0,45,4.6,310
6,1,0,0,0,0,0,1,0,2,5,0,30,12,20,2,0,45,4.6,300
6,0,0,0,0,0,0,0,0,2,5,0,30,12,20,2,0,45,4.6,300
7,0,0,0,0,0,0,0,0,2,5,0,30,12,19,2,0,47,5.2,300
8,0,0,0,0,0,0,0,0,2,5,0,30,12,19,2,0,47,5.8,300
8,0,0,0,0,0,0,0,0,3,5,0,30,12,19,2,0,47,5.8,300
9,1,0,1,0,0,0,0,0,0,5,0,30,12,19,2,0,47,6.9,300
0,0,0,0,0,0,0,0,0,0,4,1,29,12,23,4,0,43,9.2,290
0,0,0,0,0,0,0,0,0,2,4,1,29,12,23,4,0,43,9.2,290
0,0,0,0,0,0,0,0,0,0,4,1,29,12,23,4,0,43,9.2,290
0,0,0,0,0,0,0,0,0,1,4,1,29,12,23,4,0,43,9.2,290
0,0,0,0,0,0,0,0,0,1,4,1,29,12,23,4,0,43,9.2,290
10,0,0,0,0,0,0,0,0,1,4,1,29,12,19,2,0,47,8.1,320
10,0,0,0,0,0,0,0,0,2,4,1,29,12,19,2,0,47,8.1,320
10,0,0,0,0,0,0,0,0,1,4,1,29,12,19,2,0,47,8.1,320
10,0,0,0,0,0,0,0,0,1,4,1,29,12,19,2,0,47,8.1,320
10,0,0,0,0,0,0,0,0,3,4,1,29,12,19,2,0,47,8.1,320
10,1,0,0,0,0,0,1,0,2,4,1,29,12,19,2,0,47,8.1,320
10,0,0,0,0,0,0,0,0,0,4,1,29,12,19,2,0,47,8.1,320
10,0,0,0,0,0,0,0,0,1,4,1,29,12,19,2,0,47,8.1,320
11,0,0,0,0,0,0,0,0,1,4,1,29,12,20,1,0,43,8.1,270
11,0,0,0,0,0,0,0,0,1,4,1,29,12,20,1,0,43,8.1,270
11,0,0,0,0,0,0,0,0,0,4,1,29,12,20,1,0,43,8.1,270
11,0,0,0,0,0,0,0,0,1,4,1,29,12,20,1,0,43,8.1,270
11,1,0,0,0,0,0,1,0,0,4,1,29,12,20,1,0,43,8.1,270
12,2,0,0,0,0,0,2,0,1,4,1,29,12,21,0,0,39,4.6,-1
12,0,0,0,0,0,0,0,0,2,4,1,29,12,21,0,0,39,4.6,-1
12,0,0,0,0,0,0,0,0,2,4,1,29,12,21,0,0,39,4.6,-1
12,0,0,0,0,0,0,0,0,1,4,1,29,12,21,0,0,39,4.6,-1
12,0,0,0,0,0,0,0,0,0,4,1,29,12,21,0,0,39,4.6,-1
12,1,0,0,0,0,0,1,0,1,4,1,29,12,21,0,0,39,4.6,-1
12,1,0,0,0,0,0,1,0,0,4,1,29,12,21,0,0,39,4.6,-1
12,0,0,0,0,0,0,0,0,0,4,1,29,12,21,0,0,39,4.6,-1
12,0,0,0,0,0,0,0,0,3,4,1,29,12,21,0,0,39,4.6,-1
12,1,0,1,0,0,0,0,0,0,4,1,29,12,21,0,0,39,4.6,-1
13,0,0,0,0,0,0,0,0,1,4,1,29,12,23,-1,0,34,6.9,310
13,0,0,0,0,0,0,0,0,1,4,1,29,12,23,-1,0,34,6.9,310
13,0,0,0,0,0,0,0,0,1,4,1,29,12,23,-1,0,34,6.9,310
13,0,0,0,0,0,0,0,0,1,4,1,29,12,23,-1,0,34,6.9,310
13,0,0,0,0,0,0,0,0,1,4,1,29,12,23,-1,0,34,6.9,310
13,0,0,0,0,0,0,0,0,2,4,1,29,12,23,-1,0,34,6.9,310
13,0,0,0,0,0,0,0,0,0,4,1,29,12,26,1,0,33,12.7,280
13,0,0,0,0,0,0,0,0,2,4,1,29,12,26,1,0,33,12.7,280
13,0,0,0,0,0,0,0,0,3,4,1,29,12,26,1,0,33,12.7,280
13,0,0,0,0,0,0,0,0,3,4,1,29,12,26,1,0,33,12.7,280
13,1,0,0,0,0,0,1,0,1,4,1,29,12,26,1,0,33,12.7,280
13,0,0,0,0,0,0,0,0,1,4,1,29,12,26,1,0,33,12.7,280
13,0,0,0,0,0,0,0,0,2,4,1,29,12,26,1,0,33,12.7,280
13,0,0,0,0,0,0,0,0,3,4,1,29,12,26,1,0,33,12.7,280
14,3,0,0,0,0,0,3,0,0,4,1,29,12,27,2,0,33,3.5,-1
14,0,0,0,0,0,0,0,0,0,4,1,29,12,27,2,0,33,3.5,-1
14,0,0,0,0,0,0,0,0,1,4,1,29,12,27,2,0,33,3.5,-1
14,0,0,0,0,0,0,0,0,2,4,1,29,12,27,2,0,33,3.5,-1
14,0,0,0,0,0,0,0,0,1,4,1,29,12,27,2,0,33,3.5,-1
14,0,0,0,0,0,0,0,0,1,4,1,29,12,27,2,0,33,3.5,-1
15,0,0,0,0,0,0,0,0,2,4,1,29,12,27,2,0,33,10.4,300
15,1,0,0,0,1,0,0,0,1,4,1,29,12,27,2,0,33,10.4,300
15,0,0,0,0,0,0,0,0,0,4,1,29,12,27,2,0,33,10.4,300
15,0,0,0,0,0,0,0,0,2,4,1,29,12,27,2,0,33,10.4,300
15,0,0,0,0,0,0,0,0,0,4,1,29,12,27,2,0,33,10.4,300
15,0,0,0,0,0,0,0,0,3,4,1,29,12,27,2,0,33,10.4,300
15,0,0,0,0,0,0,0,0,1,4,1,29,12,27,2,0,33,10.4,300
15,0,0,0,0,0,0,0,0,1,4,1,29,12,27,2,0,33,10.4,300
15,0,0,0,0,0,0,0,0,3,4,1,29,12,27,2,0,33,10.4,300
16,1,0,0,0,0,0,1,0,0,4,1,29,12,27,1,0,32,8.1,290
16,1,0,0,0,0,0,1,0,1,4,1,29,12,27,1,0,32,8.1,290
16,0,0,0,0,0,0,0,0,0,4,1,29,12,27,1,0,32,8.1,290
16,0,0,0,0,0,0,0,0,1,4,1,29,12,27,1,0,32,8.1,290
16,0,0,0,0,0,0,0,0,0,4,1,29,12,27,1,0,32,8.1,290
16,0,0,0,0,0,0,0,0,1,4,1,29,12,27,1,0,32,8.1,290
16,0,0,0,0,0,0,0,0,1,4,1,29,12,27,1,0,32,8.1,290
16,0,0,0,0,0,0,0,0,0,4,1,29,12,27,1,0,32,8.1,290
17,0,0,0,0,0,0,0,0,1,4,1,29,12,27,1,0,32,10.4,290
17,0,0,0,0,0,0,0,0,0,4,1,29,12,27,1,0,32,10.4,290
17,2,0,0,0,0,0,2,0,2,4,1,29,12,27,1,0,32,10.4,290
17,0,0,0,0,0,0,0,0,1,4,1,29,12,27,1,0,32,10.4,290
17,0,0,0,0,0,0,0,0,3,4,1,29,12,27,1,0,32,10.4,290
18,0,0,0,0,0,0,0,0,0,4,1,29,12,26,2,0,35,10.4,290
18,0,0,0,0,0,0,0,0,1,4,1,29,12,26,2,0,35,10.4,290
18,0,0,0,0,0,0,0,0,3,4,1,29,12,26,2,0,35,10.4,290
